items	merge	insertion	hybrid
2	0.23461700230836868	0.13293000310659409	0.22202299907803535
12	0.08436200022697449	0.022880997508764267	0.03432399779558182
22	0.08357599750161171	0.03007800132036209	0.030213002115488052
32	0.11784699931740761	0.04977099969983101	0.08373900130391121
42	0.16129299998283386	0.07296499982476234	0.07308699935674667
52	0.19674700126051903	0.09772200137376785	0.14353600144386292
62	2.0221350006759167	0.12841300293803215	0.1308079995214939
72	0.26231199875473976	0.22548600286245346	0.21653399989008904
82	0.3053629994392395	0.2972069978713989	1.630681000649929
92	0.6178629994392395	0.6170549988746643	0.6043010018765926
102	0.3927609995007515	0.01838799938559532	0.016506999731063843
112	0.4296630024909973	0.01771799847483635	0.017177999019622803
122	0.47269799932837486	0.022144999355077744	0.0214649997651577
132	0.5207090005278587	0.026078000664711	0.023994002491235733
142	1.7771340012550354	0.028513997793197632	0.030079998075962067
152	0.656860001385212	0.029128998517990112	0.02809400111436844
162	0.4454309977591038	0.03433699905872345	0.03459000214934349
172	0.30142899975180626	0.034894999116659164	0.034314997494220734
182	0.3206299990415573	0.041791997849941254	0.04116499796509743
192	0.3426919989287853	0.04606100171804428	0.04489300027489662
202	0.5507850013673306	0.07793500274419785	0.04962199926376343
212	0.4903319999575615	0.062060996890068054	0.05520400032401085
222	0.936209000647068	0.0919089987874031	0.05755599960684776
232	0.5064419992268085	0.06256899982690811	0.061694998294115067
242	0.8998209983110428	0.06976700201630592	0.0720129981637001
252	0.4689970016479492	0.07649900019168854	0.07585299760103226
262	0.47726599872112274	0.07415100187063217	0.07255899906158447
272	0.8862720020115376	0.0796779990196228	0.08088399842381477
282	0.552131999284029	0.09113699942827225	0.09081999957561493
292	0.5259069986641407	0.08955500274896622	0.08855300024151802
302	0.552182998508215	0.10041400045156479	0.09951600059866905
312	0.5698849968612194	0.10752199962735176	0.10662199929356575
322	0.47687799856066704	0.10904400050640106	0.10769899934530258
332	0.48836299777030945	0.11476599797606468	0.11386799812316895
342	0.5080290026962757	0.13179000094532967	0.13066799938678741
352	0.5714589990675449	0.1346459984779358	0.13494399935007095
362	0.5387430004775524	0.14517899975180626	0.1446940004825592
372	0.8660270012915134	0.16035699844360352	0.14716199785470963
382	0.5740769989788532	0.15416299924254417	0.15360499918460846
392	0.5907969996333122	0.15465300157666206	0.15441099926829338
402	0.6156629994511604	0.18200300261378288	0.16415099799633026
412	0.6312099993228912	0.1892869994044304	0.1890379972755909
422	0.9734889976680279	0.1844470016658306	0.20228400081396103
432	0.9262859970331192	0.21435099840164185	0.20413199812173843
442	0.6848060004413128	0.21493300050497055	0.20355700328946114
452	0.6975059993565083	0.22507299855351448	0.2100590020418167
462	0.7141960002481937	0.21065299957990646	0.2104559987783432
472	1.084418997168541	0.23186100274324417	0.232744000852108
482	0.8076290003955364	0.24474800005555153	0.26446400210261345
492	0.783746000379324	0.24892299994826317	0.26305199787020683
502	0.7914060018956661	0.2583869993686676	0.5601530000567436
512	0.8312820009887218	0.2781680002808571	0.380111999809742
522	0.8224020004272461	0.26597100123763084	0.3635899983346462
532	0.8507959991693497	0.28299999982118607	0.3801030032336712
542	1.1938830018043518	0.29105499759316444	0.393996000289917
552	0.8782230019569397	0.33333100005984306	0.40595199912786484
562	0.8925830014050007	0.3025059998035431	0.4027539975941181
572	0.9097940027713776	0.33487800136208534	0.4277460016310215
582	0.9516419991850853	0.3357569985091686	0.6715420000255108
592	0.9618560001254082	0.36041900143027306	0.4370590001344681
602	0.9819610007107258	0.3617059998214245	0.4650599993765354
612	0.9822250008583069	0.3759570010006428	1.263255000114441
622	1.787517998367548	0.6329669989645481	0.8025320023298264
632	1.0262010022997856	0.4103600010275841	0.3033070005476475
642	1.0336889997124672	0.4336320012807846	0.3236510008573532
652	1.0463120006024837	0.4447150006890297	0.338213000446558
662	1.4537429995834827	0.4265430010855198	0.33083000034093857
672	1.1406629979610443	0.4574490003287792	0.34547900035977364
682	1.1100529991090298	0.4616530016064644	0.37843700125813484
692	1.5893389992415905	0.4691229984164238	0.521686002612114
702	1.1738060005009174	0.5117009989917278	0.3610749989748001
712	1.181937001645565	0.5169950015842915	0.3744719997048378
722	1.188875999301672	0.5298800021409988	0.38894300162792206
732	1.2080649994313717	0.5063199996948242	0.3870229981839657
742	2.118776999413967	0.5579699985682964	0.4234580025076866
752	1.2593410015106201	0.5723569989204407	0.4158780016005039
